Song	Notes	Show
Behind Blue Eyes	(The Who cover)	Limp Bizkit at John Cain Arena, Melbourne, Australia
Rollin' (Air Raid Vehicle)		Limp Bizkit at John Cain Arena, Melbourne, Australia
Faith	(George Michael cover)	Limp Bizkit at John Cain Arena, Melbourne, Australia
Boiler		Limp Bizkit at John Cain Arena, Melbourne, Australia
Take a Look Around		Limp Bizkit at John Cain Arena, Melbourne, Australia
Nookie		Limp Bizkit at John Cain Arena, Melbourne, Australia
Full Nelson		Limp Bizkit at John Cain Arena, Melbourne, Australia
Heart-Shaped Box / Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at John Cain Arena, Melbourne, Australia
Break Stuff	(Reprise)	Limp Bizkit at John Cain Arena, Melbourne, Australia
Dirty Rotten Bizkit	(first time opening a show)	Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Show Me What You Got		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
9 Teen 90 Nine		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Hot Dog		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Pollution	(Played until the first chorus)	Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Rollin' (Air Raid Vehicle)		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
My Way		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
My Generation		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Nookie		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Full Nelson		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Re-Arranged		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Take a Look Around		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Boiler		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Faith	(George Michael cover)	Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Break Stuff		Limp Bizkit at Fortitude Music Hall, Brisbane, Australia
Break Stuff		Limp Bizkit at Good Things Brisbane 2023
Show Me What You Got		Limp Bizkit at Good Things Brisbane 2023
Hot Dog		Limp Bizkit at Good Things Brisbane 2023
Rollin' (Air Raid Vehicle)		Limp Bizkit at Good Things Brisbane 2023
My Way		Limp Bizkit at Good Things Brisbane 2023
My Generation		Limp Bizkit at Good Things Brisbane 2023
Take a Look Around		Limp Bizkit at Good Things Brisbane 2023
Nookie		Limp Bizkit at Good Things Brisbane 2023
Re-Arranged	(until the bridge)	Limp Bizkit at Good Things Brisbane 2023
Break Stuff	(Reprise)	Limp Bizkit at Good Things Brisbane 2023
Break Stuff		Limp Bizkit at Good Things Sydney 2023
Show Me What You Got		Limp Bizkit at Good Things Sydney 2023
Hot Dog		Limp Bizkit at Good Things Sydney 2023
Rollin' (Air Raid Vehicle)		Limp Bizkit at Good Things Sydney 2023
My Way		Limp Bizkit at Good Things Sydney 2023
Walk	(Pantera cover)	Limp Bizkit at Good Things Sydney 2023
Jump Around	(House of Pain cover)	Limp Bizkit at Good Things Sydney 2023
My Generation		Limp Bizkit at Good Things Sydney 2023
Take a Look Around		Limp Bizkit at Good Things Sydney 2023
Nookie		Limp Bizkit at Good Things Sydney 2023
Full Nelson		Limp Bizkit at Good Things Sydney 2023
Faith	(George Michael cover)	Limp Bizkit at Good Things Sydney 2023
Break Stuff	(Reprise)	Limp Bizkit at Good Things Sydney 2023
Break Stuff	(With Creeping Death snippet)	Limp Bizkit at Good Things Melbourne 2023
